SUBSTATION_ID,SUBSTATION_NAME,DISPLAY NAME,CAPACITY,DC CAPACITY,STATE_NAME,ENERGY TYPE,SUBSTATION_TYPE,Band,Tag
SS00748,Ramagiri_APSRTC,Ramagiri_APSRTC,5.5,5.5,IN_AP,WIND,INTRA_STATE,,
SS00749,Achampet_amp,Achampet_amp,15,18,IN_TG,SOLAR,INTRA_STATE,,
SS00750,Nanadi,Nanadi,20,28,IN_KA,SOLAR,INTRA_STATE,,
SS00751,Chandragiri,Chandragiri,249.9,249.9,IN_TN,WIND,INTER_STATE,,
SS00752,Kolanupaka,Kolanupaka,6,6.007,IN_TG,SOLAR,INTRA_STATE,,
SS00877,Bap_SNE,Bap_SNE,5,5.25,IN_RJ,SOLAR,INTRA_STATE,,
SS00878,Bap_IOCL,Bap_IOCL,5,5.0688,IN_RJ,SOLAR,INTRA_STATE,,
SS00879,Bap_Par,Bap_Par,2.4,3,IN_RJ,SOLAR,INTRA_STATE,,
SS00880,Bap_Punj,Bap_Punj,5,5.25,IN_RJ,SOLAR,INTRA_STATE,,
SS00881,Midjil_PG,Midjil_PG,9,9,IN_TG,SOLAR,INTRA_STATE,,
SS00882,Midjil_Surya,Midjil_Surya,1,1.15,IN_TG,SOLAR,INTRA_STATE,,
SS00883,Infosys,Infosys,28.4,30,IN_KA,SOLAR,INTRA_STATE,,
SS00885,Jajiya_Renew,Jajiya_Renew,13.6,13.6,IN_RJ,WIND,INTRA_STATE,,
SS00886,Bhu_Renew,Bhu_Renew,66.4,66.4,IN_RJ,WIND,INTRA_STATE,,
SS00887,Niphaniya_Renew,Niphaniya_Renew,40,40,IN_MP,WIND,INTRA_STATE,,
SS00888,Kustagi_Renew,Kustagi_Renew,71.4,71.4,IN_KA,WIND,INTRA_STATE,,
SS00890,zaheerabad,zaheerabad,57.5,61.88,IN_TG,SOLAR,INTRA_STATE,,
SS00891,Ampolu,Ampolu,0.8,0.96,IN_AP,SOLAR,INTRA_STATE,,
SS00895,Rajiya_Saleem,Rajiya_Saleem,11,12.1,IN_KA,SOLAR,INTRA_STATE,,
SS00896,Betagera,Betagera,10,11.9,IN_KA,SOLAR,INTRA_STATE,,
SS00897,Telgaon,Telgaon,50,66.93,IN_MH,SOLAR,INTRA_STATE,,
SS00898,Talettutayi,Talettutayi,10,12,IN_TG,SOLAR,INTRA_STATE,,
SS00899,NV_Vogt,NV_Vogt,10,12,IN_TG,SOLAR,INTRA_STATE,,
SS00900,Gajarayani_valasa,Gajarayani_valasa,3,3.3,IN_AP,SOLAR,INTRA_STATE,,
SS00901,Ragigunta,Ragigunta,7,7.66,IN_AP,SOLAR,INTRA_STATE,,
SS00904,Aguncha,Aguncha,22,29.7,IN_RJ,SOLAR,INTRA_STATE,,
SS00906,Bhadla_S,Bhadla_S,5,5.491,IN_RJ,SOLAR,INTRA_STATE,,
SS00907,Pishore,Pishore,21,21,IN_MH,WIND,INTRA_STATE,,
SS00908,Vontithadi,Vontithadi,1.5,1.65,IN_AP,SOLAR,INTRA_STATE,,
SS00909,Mallampudi,Mallampudi,1.5,1.65,IN_AP,SOLAR,INTRA_STATE,,
SS00913,Thallak_TG,Thaaluk_TG,71,80,IN_KA,SOLAR,INTRA_STATE,,
SS00915,Bhatel,Bhatel,50.6,50.6,IN_GJ,WIND,INTRA_STATE,0.12,
SS00917,Puttamapalli,Puttamapalli,3,3.03,IN_AP,SOLAR,INTRA_STATE,,
SS00918,SEI_Solar,SEI_Solar,22.5,25.01,IN_GJ,SOLAR,INTRA_STATE,0.07,Daily
SS00919,Azure_power,Azure_power,4.99,5.16,IN_GJ,SOLAR,INTRA_STATE,0.07,Daily
SS00920,ESP_Urja,ESP_Urja,4.59,5.003,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS00921,Millenium_Synergy,Millenium_Synergy,8.19,9.27,IN_GJ,SOLAR,INTRA_STATE,0.07,Daily
SS00923,Gandlaparthy,Gandlaparthy,2,2.02,IN_AP,SOLAR,INTRA_STATE,,
SS00924,Jalgaon,Jalgaon,8.5,8.5,IN_MH,SOLAR,INTRA_STATE,,
SS00930,Sadodar,Sadodar,462.4,462.4,IN_GJ,WIND,INTRA_STATE,0.12,
SS00933,Varshamedi,Varshamedi,119.7,119.7,IN_GJ,WIND,INTRA_STATE,0.12,
SS00934,Wandhiya,Wandhiya,199.9,199.9,IN_GJ,WIND,INTRA_STATE,0.12,
SS00941,Jangi,Jangi,106.5,106.5,IN_GJ,WIND,INTRA_STATE,0.12,
SS00942,Shikarpur_Vestas,Shikarpur_Vestas,90.05,90.05,IN_GJ,WIND,INTRA_STATE,0.12,
SS00946,Rojmal,Rojmal,495,495,IN_GJ,WIND,INTRA_STATE,0.12,Daily
SS00950,Rasaliya,Rasaliya,66.4,66.4,IN_GJ,WIND,INTRA_STATE,0.12,
SS00953,Vadali,Vadali,64.8,64.8,IN_GJ,WIND,INTRA_STATE,0.12,
SS00963,Golida_Anandpur,Golida_Anandpur,100,100,IN_GJ,WIND,INTRA_STATE,0.12,
SS00972,GHI,GHI,9,10,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS00978,ICML,ICML,9,9.006,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS00979,5_STAR_MIDC_KAGAL,5_STAR_MIDC_KAGAL,6.8,8.1,IN_MH,SOLAR,INTRA_STATE,,
SS00981,HD_Pura,HD_Pura,13.5,13.5,IN_KA,WIND,INTRA_STATE,,
SS00982,Rojmal_KPT,Rojmal_KPT,6,6,IN_GJ,WIND,INTRA_STATE,0.12,
SS00983,Bableshwar_1,Bableshwar_1,10,10,IN_KA,WIND,INTRA_STATE,,
SS00987,Virvaav,Virvaav,254.3,254.3,IN_GJ,WIND,INTRA_STATE,0.12,
SS00988,Nallamannayakanpatti,Nallamannayakanpatti,50,54.015,IN_TN,SOLAR,INTRA_STATE,,
SS00989,Kanji,Kanji,30,36.013,IN_TN,SOLAR,INTRA_STATE,,
SS00990,Mendhegiri,Mendhegiri,130.2,130.2,IN_MH,WIND,INTRA_STATE,0.15,Daily
SS00991,Sanmadi,Sanmadi,10,10,IN_MH,WIND,INTRA_STATE,,
SS00993,Dhaiwadi,Dhaiwadi,22.1,22.1,IN_MH,WIND,INTRA_STATE,0.15,Daily
SS00999,Bambarwadi,Bambarwadi,50.4,50.4,IN_MH,WIND,INTRA_STATE,,
SS01002,Sugen,Sugen,69.6,87,IN_GJ,SOLAR,INTRA_STATE,0.07,Daily
SS01003,Charanka_Kindle,Charanka_Kindle,43.2,50.07,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01004,Charanka_NKG,Charanka_NKG,10,10,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01005,Dhank,Dhank,8,8,IN_GJ,WIND,INTRA_STATE,0.12,
SS01006,Mervadar,Mervadar,8.79,8.79,IN_GJ,WIND,INTRA_STATE,0.12,
SS01007,Navadra,Navadra,21.24,21.24,IN_GJ,WIND,INTRA_STATE,0.12,
SS01008,Patelka,Patelka,12.875,12.875,IN_GJ,WIND,INTRA_STATE,0.12,
SS01009,Motidharai,Motidharai,14.375,15.59,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01010,Charanka_SE,Charanka_SE,5.99,6.004,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01012,Ranakandora_HRE,Ranakandora_HRE,17.6,20,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01013,Mervadar_GME,Mervadar_GME,4.4,5,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01014,Mervadar_CBC,Mervadar_CBC,8.8,9.9,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01015,Mervadar_GGE,Mervadar_GGE,24,25,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01016,Ranakandora_MB,Ranakandora_MB,14.4,14.97,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01017,Hiremallana,Hiremallana,5,5.9,IN_KA,SOLAR,INTRA_STATE,,
SS01018,BrahmanaPalli,BrahmanaPalli,1,1,IN_AP,SOLAR,INTRA_STATE,,
SS01020,Panumbre,Panumbre,12.26,12.26,IN_MH,WIND,INTRA_STATE,,
SS01021,Kale,Kale,13,13,IN_MH,WIND,INTRA_STATE,,
SS01025,Pokhari,Pokhari,8.4,8.4,IN_MH,WIND,INTRA_STATE,,
SS01026,Kuslamb,Kuslamb,10.2,10.2,IN_MH,WIND,INTRA_STATE,,
SS01027,Jamkhed,Jamkhed,7.2,7.2,IN_MH,WIND,INTRA_STATE,,
SS01029,Karajagi,Karajagi,49.435,59.351,IN_MH,SOLAR,INTRA_STATE,,
SS01030,Mandrup,Mandrup,49.75,54.39,IN_MH,SOLAR,INTRA_STATE,,
SS01032,Charanka_Emami,Charanka_Emami,10,10.0188,IN_GJ,SOLAR,INTRA_STATE,0.07,
SS01041,Nagalamadike_Atria,Nagalamadike_Ryapte,20,23.02,IN_KA,SOLAR,INTRA_STATE,,
SS01042,Kabbahalli,Kabbahalli,30,37.5,IN_KA,SOLAR,INTRA_STATE,,
SS01043,Bharmagiri,Bharmagiri_Hiriyur,20,29.994,IN_KA,SOLAR,INTRA_STATE,,
SS01044,Kogili,Kogili,30,37.5,IN_KA,SOLAR,INTRA_STATE,,
SS01045,Charanka_GPPC,Charanka_GPPC,4.48,5,IN_GJ,SOLAR,INTRA_STATE,0.07,
